2026-06-18 11:06:24.571 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 35 ms | CPU Load: %.2f%%
2026-06-18 11:06:24.616 CrudRepository.save | UserID: N/A | Args: (Product) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:24.671 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 18 ms | CPU Load: %.2f%%
2026-06-18 11:06:33.294 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:33.329 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:33.384 CrudRepository.save | UserID: N/A | Args: (Product) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:33.674 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 38 ms | CPU Load: %.2f%%
2026-06-18 11:06:33.887 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:33.927 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:34.069 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:34.162 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:34.196 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:34.321 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:34.421 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:34.458 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:34.585 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:34.680 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:34.714 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:34.840 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:34.947 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:34.991 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:35.179 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:35.275 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:35.313 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:35.448 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:35.547 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:35.586 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:35.740 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:35.844 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:35.897 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:36.028 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:36.123 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:36.159 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:36.282 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:36.387 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:36.426 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:36.552 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:36.647 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:36.684 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:36.806 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:36.945 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:36.981 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:37.105 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:37.209 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:37.247 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:37.372 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 2 ms | CPU Load: %.2f%%
2026-06-18 11:06:37.468 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:37.503 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:37.627 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:37.719 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:37.755 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:37.883 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:37.978 CrudRepository.save | UserID: N/A | Args: (User) | Duration: 1 ms | CPU Load: %.2f%%
2026-06-18 11:06:38.012 CrudRepository.save | UserID: N/A | Args: (Cart) | Duration: 1 ms | CPU Load: %.2f%%
