2026-06-18 11:16:42.192 OrderService.placeOrderAsync | UserID: 9 | Args: (9) | Duration: 2408 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.194 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 9 | Args: (9) | Duration: 2408 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.274 OrderService.placeOrderAsync | UserID: 11 | Args: (11) | Duration: 2522 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.275 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 11 | Args: (11) | Duration: 2522 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.282 OrderService.placeOrderAsync | UserID: 3 | Args: (3) | Duration: 2540 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.283 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 3 | Args: (3) | Duration: 2540 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.302 OrderService.placeOrderAsync | UserID: 5 | Args: (5) | Duration: 2561 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.302 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 5 | Args: (5) | Duration: 2561 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.319 OrderService.placeOrderAsync | UserID: 13 | Args: (13) | Duration: 2551 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.319 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 13 | Args: (13) | Duration: 2551 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.344 OrderService.placeOrderAsync | UserID: 4 | Args: (4) | Duration: 2564 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.344 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 4 | Args: (4) | Duration: 2564 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.361 OrderService.placeOrderAsync | UserID: 14 | Args: (14) | Duration: 2564 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.361 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 14 | Args: (14) | Duration: 2564 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.406 OrderService.placeOrderAsync | UserID: 16 | Args: (16) | Duration: 2598 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.406 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 16 | Args: (16) | Duration: 2598 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.487 OrderService.placeOrderAsync | UserID: 10 | Args: (10) | Duration: 2685 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.487 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 10 | Args: (10) | Duration: 2685 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.500 OrderService.placeOrderAsync | UserID: 61 | Args: (61) | Duration: 2418 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.500 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 61 | Args: (61) | Duration: 2418 ms | CPU Load: 14.33 %
2026-06-18 11:16:42.652 OrderService.placeOrderAsync | UserID: 62 | Args: (62) | Duration: 2403 ms | CPU Load: 0.00 %
2026-06-18 11:16:42.652 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 62 | Args: (62) | Duration: 2403 ms | CPU Load: 0.00 %
2026-06-18 11:16:43.427 OrderService.placeOrderAsync | UserID: 63 | Args: (63) | Duration: 2926 ms | CPU Load: 0.00 %
2026-06-18 11:16:43.427 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 63 | Args: (63) | Duration: 2926 ms | CPU Load: 0.00 %
2026-06-18 11:16:43.605 OrderService.placeOrderAsync | UserID: 64 | Args: (64) | Duration: 2903 ms | CPU Load: 0.27 %
2026-06-18 11:16:43.605 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 64 | Args: (64) | Duration: 2903 ms | CPU Load: 0.27 %
2026-06-18 11:16:43.717 OrderService.placeOrderAsync | UserID: 65 | Args: (65) | Duration: 2938 ms | CPU Load: 0.00 %
2026-06-18 11:16:43.717 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 65 | Args: (65) | Duration: 2938 ms | CPU Load: 0.00 %
2026-06-18 11:16:43.761 OrderService.placeOrderAsync | UserID: 66 | Args: (66) | Duration: 2972 ms | CPU Load: 0.00 %
2026-06-18 11:16:43.761 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 66 | Args: (66) | Duration: 2972 ms | CPU Load: 0.00 %
2026-06-18 11:16:43.902 OrderService.placeOrderAsync | UserID: 77 | Args: (77) | Duration: 2877 ms | CPU Load: 0.00 %
2026-06-18 11:16:43.902 [BOTTLENECK DETECTED] OrderService.placeOrderAsync | UserID: 77 | Args: (77) | Duration: 2877 ms | CPU Load: 0.00 %
